,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
67908,2021-08-10 01:26:20.000000,082000794981,082000792574,SM SLTZR SEASONAL VP 12CN,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
67926,2021-08-10 01:36:54.000000,00087692006572,00087692006862,SA TRULY BERR VAR 2/12C,00087692006572,TRULY TRAY 2X12PK SKINNY CAN TRULY COLIMA LIME,NEED TO INSPECT
67978,2021-08-10 01:52:33.000000,00810631030242,00810631030266,EXILE DANKELOPE 6NR,00810631030242,DANKALOPE CASE 12OZ BOTTLES,NEED TO INSPECT
68116,2021-08-10 01:57:34.000000,082184326022,,JDCC BLK JACK COLA 10Z 4,00082184326022,JACK DANIELS COUNTRY COCKTAILS LYNCHBURG LEMONADE 4/6/10OZ BOTTLE,NEED TO INSPECT
68129,2021-08-10 01:46:36.000000,,086024000400,SOOH TYRCONNELL IRISH SING MALT 750 ML,00086024000400,TYR TU 40% SAZERAC 6 X 75CL RF,NEED TO INSPECT
68154,2021-08-10 01:47:09.000000,00034100008703,00034100008703,ALLOY STRWBRY 6/4/16 CN,00034100008703,STEEL RESERVE 211 ALLOY SERIES SPIKED STRAWBERRY BURST MALT BEVERAGE 4 CT 16 OZ CAN 64 OZ,NEED TO INSPECT
68177,2021-08-10 01:57:29.000000,798449008113,,COOP HAWK PKG ICE WINE,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
68179,2021-08-10 01:53:46.000000,859518002033,00081308004150,750    CUPCAKE NV SPARKLING ROSE,00859518002033,MULTI-PACK 12-PACK BAXTER,NEED TO INSPECT
68216,2021-08-10 01:06:01.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
68220,2021-08-10 01:37:23.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
68293,2021-08-10 01:51:39.000000,00863378000450,863378000450,SAUCY WHAT'S HIS NUTS? 4/6 CAN,00863378000450,SAUCY BREW WORKS AMBER ALE W/ SPICES - THREE HO'S 6 PACK & KEGS 7.5% ABV,NEED TO INSPECT
68336,2021-08-10 01:41:48.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
68376,2021-08-10 01:20:10.000000,00850992005022,00850992005015,EXILE RUTHIE 6PK BTL,00850992005022,RUTHIE CASE 12 OZ BOTTLES,NEED TO INSPECT
68471,2021-08-10 01:28:48.000000,071990480455,071990480455,KEY LT 2/15 C,00071990480455,KEYSTONE LIGHT BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
68500,2021-08-10 01:04:12.000000,070310014837,070310014837,SEAG SPKD JMH 12/23.5 CN,00070310014837,SEAGRAMS ESCAPES SPIKED JAMAICAN ME HAPPY MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ,NEED TO INSPECT
68506,2021-08-10 01:13:17.000000,00635985260455,00635985260387,MIK WHT BL CHE 12-19.2 CAN,00635985260387,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
68523,2021-08-10 01:25:45.000000,082000792581,082000792574,SMNF ZERO SUGAR SELTZER VTY 2/12/12 CN S,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
68597,2021-08-10 01:06:32.000000,00078000029451,00078000029451,C DRY C 10PK 7.5 OZ GINGER,00078000029451,CANADA DRY GINGER ALE SODA 3/10/7.5OZ CANS,NEED TO INSPECT
68599,2021-08-10 01:06:33.000000,00078000029451,00078000029451,C DRY C 10PK 7.5 OZ GINGER,00078000029451,CANADA DRY GINGER ALE SODA 3/10/7.5OZ CANS,NEED TO INSPECT
68657,2021-08-10 01:38:13.000000,018200200380,018200200380,AB-BUD ZERO 12PK CAN,00018200200380,BUDWEISER PROHIBITION BREW MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
68684,2021-08-10 01:25:29.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
68703,2021-08-10 01:32:44.000000,00078000053425,00078000053425,DIET A&W ROOTB 4/6 .5LTR,00078000053425,A&W ZERO SUGAR ROOT BEER SODA 4/6/500ML PET,NEED TO INSPECT
68720,2021-08-10 01:13:04.000000,653341478740,00839728006847,750    NEVADA COUNTY 19 OUR DAILY RE,00839728006847,OUR DAILY WINES CALIFORNIA ORGANIC CABERNET SAUVIGNON 12/750ML BOTTLE,NEED TO INSPECT
68750,2021-08-10 01:43:51.000000,,00087692008217,AO VARIETY PK 12PK CN,00087692008217,ANGRY ORCHARD WRAP 12X12OZ ANGRY ORCHARD EXPLORER PACK VP,NEED TO INSPECT
68752,2021-08-10 01:40:40.000000,00635985258551,00635985258759,MIKE LEM 24/16 OZ CANS,00635985258551,MIKES HARDER LEMONADE 6 / 4 PACK 16OZ,NEED TO INSPECT
68768,2021-08-10 01:57:28.000000,798449008113,,COOP HAWK PKG MOSCATO,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
68820,2021-08-10 01:22:27.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
68821,2021-08-10 01:22:27.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
68860,2021-08-10 01:22:54.000000,00863575000031,00863575000031,SM COOKIE COW 4/6 CANS,00863575000031,SMARTMOUTH BREWING CO. SEASONAL CAN,NEED TO INSPECT
68914,2021-08-10 01:37:05.000000,00859515003071,00859515003071,CIG V MIXED PK C24 12OZ 12P,00859515003071,MIXED CASE 12 PACK (JAI ALAI GUAYABERA FLORIDA CRACKER SPACE POPE),NEED TO INSPECT
68945,2021-08-10 01:30:26.000000,071990170523,00081308001494,750    FLIP FLOP NV PINOT GRIGIO,00071990170523,BLUE MOON BELGIAN WHITE WHEAT ALE BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
69031,2021-08-10 01:11:59.000000,00611269283112,00611269283105,RB PEACH 24/12 LSE CAN,00611269283112,RED BULL - BEVERAGE PEACH EDITION 12OZ TRAY,NEED TO INSPECT
69090,2021-08-10 01:46:38.000000,083820234800,00089419000177,750    LA VIELLE FERM 19 ROSE,00083820234800,GUINNESS EXTRA STOUT BEER 1 CT 22 OZ GLASS BOTTLE 22 OZ,NEED TO INSPECT
69099,2021-08-10 01:50:57.000000,00635985260479,00635985260448,WC HRD RUBY GF C12 19.2OZ,00635985260448,WHITE CLAW HARD SELTZER RUBY GRAPEFRUIT MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
69130,2021-08-10 01:47:31.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
69157,2021-08-10 01:41:34.000000,00813694023671,00813694023640,BAI P 12/18 STRAW LEMONADE,00813694023640,BAI FLAVORED WATER STRAWBERRY LEMON SAO PAULO 12/18OZ PET,NEED TO INSPECT
69173,2021-08-10 01:54:16.000000,786150000021,078615000001,SAR 4/6/11.2N,00786150000021,STELLA ARTOIS LAGER 24 PACK 11 OZ BOTTLE,NEED TO INSPECT
69346,2021-08-10 01:11:30.000000,80686012139,,BASIL HAYDEN'S BOURBON,00080686012139,BHY BBN 1000X6 40% USA,NEED TO INSPECT
69402,2021-08-10 01:32:19.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
69403,2021-08-10 01:32:19.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
69443,2021-08-10 01:33:05.000000,034100173067,034100173067,MGD FLAT,00034100173067,MILLER GENUINE DRAFT BEER 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
69465,2021-08-10 01:39:20.000000,012000002977,,1L PL MDEW 1/15S,00012000002977,MOUNTAIN DEW SODA 15/1L PET,NEED TO INSPECT
69472,2021-08-10 01:35:54.000000,018200111273,001820000126,BUD 1/12/40 BT,00018200111273,BUDWEISER BEER 12 CT 40 OZ GLASS BOTTLE 480 OZ,NEED TO INSPECT
69493,2021-08-10 01:24:30.000000,00034100570224,00034100570231,LITE 9PK ALM 16OZ,00034100570224,MILLER LITE BEER 18 CT 16 OZ ALUMINUM BOTTL IN BX 288 OZ,NEED TO INSPECT
69623,2021-08-10 01:37:33.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
69624,2021-08-10 01:37:33.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
69638,2021-08-10 01:04:01.000000,,851834008171,VIVE MANGO 16OZ  6PK CANS - CS24-16Z,00851834008171,BRAXTON BREWING COMPANY VIVE 16OZ MANGO,NEED TO INSPECT
69639,2021-08-10 01:16:56.000000,00111111111117,00850016258069,B POCKT COBBLER 6PKC,00850016258069,BLACK CAT SERIES KETTLE SOUR - SIX PACK 12OZ CAN,NEED TO INSPECT
69678,2021-08-10 01:37:32.000000,00704361990122,00704361990122,GL IRISH ALE 2/12 PK NR,00704361990122,GREAT LAKES SEASONAL BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
69680,2021-08-10 01:07:12.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000105,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
69681,2021-08-10 01:07:12.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000044,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
69714,2021-08-10 01:37:30.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
69728,2021-08-10 01:33:29.000000,00819942000166,00819942000166,OSKAR BLUES 12/19CN DALES,00819942000166,DALE'S PALE ALE 19.2OZ CAN,NEED TO INSPECT
69731,2021-08-10 01:09:29.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000105,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
69732,2021-08-10 01:09:29.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000044,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
69782,2021-08-10 01:31:47.000000,00016571952846,00016571952822,TR ICE C 12/16 CAFF ORANGE,00016571952846,SPARKLING ICE ORANGE PASSIONFRUIT 12/16OZ CANS,NEED TO INSPECT
69860,2021-08-10 01:37:24.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
69874,2021-08-10 01:32:15.000000,00632432333151,00632432333106,GUAYAKI C12/12 SPARK GOLD,00632432333151,GUAYAKI YERBA MATE CLASSIC GOLD SPARK 12/12OZ CANS,NEED TO INSPECT
69901,2021-08-10 01:26:22.000000,00754527009045,00754527009052,NB VD IPA 15/19.2 CAN,00754527009052,NEW BELGIUM VOODOO RANGER IPA BEER 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
69902,2021-08-10 01:26:22.000000,00754527009045,00754527009052,NB VD IPA 15/19.2 CAN,00754527009045,NEW BELGIUM VOODOO RANGER IPA BEER 15 CT 19 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
69909,2021-08-10 01:02:15.000000,00853045008056,00853045008056,SMB LTD IPA 6/4/16OZ CN,00853045008056,SYCAMORE SEASONAL SERIES CAROLINA CRAFT BEER,NEED TO INSPECT
69936,2021-08-10 01:10:04.000000,,085200918751,S HOME MOSCATO 4PK 24C PET - CS24-187ML,00085200918751,SUTTER MH MSCTO DM MSCTL/MSCT 187 ML,NEED TO INSPECT
69986,2021-08-10 01:05:58.000000,080660956251,00088474018202,750    SCHMITT SOHNE 19 RIESLING BLU,00080660956251,CORONA LIGHT BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
70048,2021-08-10 01:56:23.000000,00851291006178,00851291006178,TRIM GRND PRSM 6/4/16Z CAN,00851291006178,LIGHT VISIONS 4PK TRIMTAB BREWING -,NEED TO INSPECT
70093,2021-08-10 01:42:23.000000,00855787005119,00855787005119,CB SHOTGUN 4/6 CAN 12OZ,00855787005119,COUNTRY BOY BREWING SHOTGUN WEDDING - VANILLA BROWN ALE,NEED TO INSPECT
70100,2021-08-10 01:56:19.000000,080660957869,080660957852,NEG MODELO 4/6/12 NR,00080660957852,MODELO NEGRA BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
70101,2021-08-10 01:56:19.000000,080660957869,080660957852,NEG MODELO 4/6/12 NR,00080660957869,MODELO NEGRA BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
70113,2021-08-10 01:42:27.000000,034100005344,034100005344,LITE 1/2 BARREL,00034100005344,MILLER LITE BEER 1 CT 1984 OZ KEG 1984 OZ,NEED TO INSPECT
70281,2021-08-10 01:58:39.000000,754527000233,754527000226,NB FAT TIRE 4/6 NR 24/12,00754527000233,FAT TIRE AMBER ALE 6PK BTL,NEED TO INSPECT
70285,2021-08-10 01:58:37.000000,070310012574,070310012444,SEAG VPK CAN 2/12,00070310012444,SEAGRAMS ESCAPES VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
70286,2021-08-10 01:58:37.000000,070310012574,070310012444,SEAG VPK CAN 2/12,00070310012574,SEAGRAMS ESCAPES VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
70325,2021-08-10 01:18:49.000000,012000001314,,20OZ PL MDEW 1/24,00012000001314,MOUNTAIN DEW SODA 24/20OZ,NEED TO INSPECT
70327,2021-08-10 01:10:53.000000,798449008113,,COOP HAWK PKG RED SANGRIA,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
70379,2021-08-10 01:06:11.000000,52000000000000,754527009052,NB VDR IPA 19.2OZ 15P CAN,00754527009052,NEW BELGIUM VOODOO RANGER IPA BEER 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
70401,2021-08-10 01:13:27.000000,754527000233,754527000226,NEW BELG FAT TIRE 4/6 B,00754527000233,FAT TIRE AMBER ALE 6PK BTL,NEED TO INSPECT
70549,2021-08-10 01:18:36.000000,012000001314,,20OZ PL MDEW 1/24S,00012000001314,MOUNTAIN DEW SODA 24/20OZ,NEED TO INSPECT
70555,2021-08-10 01:29:48.000000,00071439451183,00071439451183,R ROCK        18/12 LNNR,00071439451183,ROLLING ROCK EXTRA PALE BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ,NEED TO INSPECT
70560,2021-08-10 01:02:50.000000,723830100091,723830100091,LAG IPA 2/12/12 BTL,00723830100091,LAGUNITAS INDIA PALE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
70575,2021-08-10 01:38:19.000000,00078000033328,00078000033328,C DRY C 2/12PK BOLD GINGERALE,00078000033328,CANADA DRY BOLD SODA 2/12/12OZ CANS,NEED TO INSPECT
70651,2021-08-10 01:04:54.000000,082488127509,082488127004,BECKS NA 4/6 NR 24/12,00082488127509,HAAKE BECK NA MALT BEVERAGE 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
70652,2021-08-10 01:04:54.000000,082488127509,082488127004,BECKS NA 4/6 NR 24/12,00082488127004,HAAKE BECK NA MALT BEVERAGE 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
70667,2021-08-10 01:18:35.000000,085000025031,,CARLO ROSSI PINK MOSCATO SANGRIA 750.000 ML,00085000025031,C ROSSI SOFT WH TABLE OTHER 750 ML,NEED TO INSPECT
70679,2021-08-10 01:36:25.000000,00087692752318,00087692752318,TWI 1/2 & 1/2 12-24 CAN,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
70684,2021-08-10 01:20:18.000000,00859515003071,00859515003071,CIGAR CITY MIXED PACK 2/12/12 CANS,00859515003071,MIXED CASE 12 PACK (JAI ALAI GUAYABERA FLORIDA CRACKER SPACE POPE),NEED TO INSPECT
70758,2021-08-10 01:06:09.000000,078000001143,00078000001143,C DRY 6PK 12OZ C 4/6 GINGER,00078000001143,CANADA DRY GINGER ALE SODA 4/6/12OZ PET,NEED TO INSPECT
70870,2021-08-10 01:12:44.000000,798449008113,,COOP HAWK PKG WOM 21/01 VIN NOIR,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
70882,2021-08-10 01:24:56.000000,087692000426,087692008217,AO VARIETY 2/12/12 CN-2,00087692008217,ANGRY ORCHARD WRAP 12X12OZ ANGRY ORCHARD EXPLORER PACK VP,NEED TO INSPECT
70893,2021-08-10 01:26:09.000000,018200967696,018200059902,M ULT 24/12 LN 2/12,00018200967696,MICHELOB ULTRA BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
70943,2021-08-10 01:35:57.000000,085000012338,,BURLWOOD CLRS CAB SV PRV RSV(ALDI) 750.000 ML,00085000012338,PETER VELLA BURGUNDY 5 LTR+,NEED TO INSPECT
70961,2021-08-10 01:01:16.000000,08200077155,,CROWN ROYAL REGAL APPLE,00082000771555,C RYL APPLE CANDN BTL CAN 375 ML,NEED TO INSPECT
70969,2021-08-10 01:06:29.000000,10883990661256,00883990661853,G2G VEG TROP 6 OZ 12 PET,00883990661853,GOOD2GROW VEGGIE BLEND TROPICAL FRUIT JUICE 12/6OZ PET,NEED TO INSPECT
70970,2021-08-10 01:06:29.000000,10883990661256,00883990661853,G2G VEG TROP 6 OZ 12 PET,10883990661256,GOOD 2 GROW TROPICAL VEGETABLE MEDLEY JUICE 12/6OZ PET,NEED TO INSPECT
70978,2021-08-10 01:30:29.000000,00063123467112,00631234671126,SW HIGH LT 15PK C,00631234671126,SWEETWATER HASH SESSION IPA BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
70993,2021-08-10 01:26:36.000000,018200966248,001820096624,MUL 18/12NR,00018200966248,MICHELOB ULTRA BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ,NEED TO INSPECT
70995,2021-08-10 01:28:54.000000,00723830000162,00723830100091,LAG IPA 2/12B,00723830000162,LAGUNITAS INDIA PALE ALE BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
70996,2021-08-10 01:28:54.000000,00723830000162,00723830100091,LAG IPA 2/12B,00723830100091,LAGUNITAS INDIA PALE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
71012,2021-08-10 01:05:08.000000,856065002097,,DEEP EDDY VOD RUBY RED 70 1L,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
71074,2021-08-10 01:08:47.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
71075,2021-08-10 01:08:47.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
71093,2021-08-10 01:21:31.000000,00611269546248,00611269546026,SF RB 20Z,00611269546248,RED BULL - BEVERAGE SUGARFREE 16OZ TRAY,NEED TO INSPECT
71094,2021-08-10 01:21:31.000000,00611269546248,00611269546026,SF RB 20Z,00611269546026,RED BULL - BEVERAGE SUGARFREE 16OZ EACH,NEED TO INSPECT
71125,2021-08-10 01:51:09.000000,00754527010782,00754527010782,NB VD AMER HZE 4/6/12 CAN,00754527010782,NEW BELGIUM VOODOO RANGER AMERICAN HAZE IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
71244,2021-08-10 01:56:57.000000,00034100575090,00034100575090,LITE 2/12/12 LNNR,00034100575090,MILLER LITE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
71261,2021-08-10 01:31:08.000000,078000001143,00078000001143,C DRY 6PK 12OZ C 4/6 GINGER,00078000001143,CANADA DRY GINGER ALE SODA 4/6/12OZ PET,NEED TO INSPECT
71275,2021-08-10 01:31:11.000000,00078000029451,00078000029451,C DRY C 10PK 7.5 OZ GINGER,00078000029451,CANADA DRY GINGER ALE SODA 3/10/7.5OZ CANS,NEED TO INSPECT
71289,2021-08-10 01:04:33.000000,08500001681,08500001681,CAMARENA TEQUILA   SILVER  LT,00085000016817,FAMILIA CMR SLV IM TEQ WHITE 1.0 LTR,NEED TO INSPECT
71291,2021-08-10 01:30:32.000000,00855623002005,00855623002005,IHORSE        IRISH 12/22OZ%,00855623002005,QUILTER'S IRISH DEATH 22 OUNCE BOTTLE,NEED TO INSPECT
71338,2021-08-10 01:14:18.000000,00652682012262,00652682012262,3F GUMBALL C24 12OZ 12P,00652682012262,THREE FLOYDS GUMBALLHEAD WHEAT ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
71341,2021-08-10 01:09:39.000000,00063123467112,00631234671126,SW HIGH LT 15PK C,00631234671126,SWEETWATER HASH SESSION IPA BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
71384,2021-08-10 01:37:31.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
71385,2021-08-10 01:37:31.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
71388,2021-08-10 01:16:14.000000,00087692006572,00087692006862,SA TRULY BERR VAR 2/12C,00087692006572,TRULY TRAY 2X12PK SKINNY CAN TRULY COLIMA LIME,NEED TO INSPECT
71470,2021-08-10 01:50:53.000000,00850324002040,00850324002040,HOPWORKS B 12/22 JUICY,00850324002040,SEASONAL BEER SERIES 22 OZ BOTTLE,NEED TO INSPECT
71523,2021-08-10 01:31:41.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
71530,2021-08-10 01:08:28.000000,00632565000050,00632565000029,FIJI 12 LOOSE 1.0 L,00632565000029,FIJI NATURAL ARTESIAN WATER 1 LITER,NEED TO INSPECT
71666,2021-08-10 01:55:28.000000,00859088003669,00859088003669,BRHC SANGRIA 4/6/12B,00859088003669,BOLD ROCK/(HARD CIDER) SEASONAL,NEED TO INSPECT
71693,2021-08-10 01:42:00.000000,00813694023671,00813694023640,BAI P 12/18 STRAW LEMONADE,00813694023640,BAI FLAVORED WATER STRAWBERRY LEMON SAO PAULO 12/18OZ PET,NEED TO INSPECT
71725,2021-08-10 01:46:43.000000,00855417003188,00850598008434,KAR IPA 2/12 CAN 24/12,00850598008434,IPA VARIETY PACK 12,NEED TO INSPECT
71769,2021-08-10 01:25:52.000000,018200967313,001820006991,MUL 2/12C,00018200967313,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
71824,2021-08-10 01:16:00.000000,00087692751342,00087692751342,TT 1/2 N 1/2 CAN 2/12/12,00087692751342,TWISTED TEA WRAP 12X12OZ CANS TWISTED TEA HALF & HALF,NEED TO INSPECT
71842,2021-08-10 01:04:39.000000,85601100404,85601100404,OLE SMOKY MOONSHINE  750ML,856011004045,OLE SMOKY TENNESSEE MOONSHINE ORIGINAL 750ML,NEED TO INSPECT
71858,2021-08-10 01:16:59.000000,,00081434000309,500ML  BLACK BOX CA PINOT GRIGIO19,00081434000309,BLACK BOX MONTEREY CHARDONNAY TETRA 12/500ML,NEED TO INSPECT
71865,2021-08-10 01:06:28.000000,083783160000,083783160000,SN SAMPLER PK 2/12/12 BTL,00083783160000,SIERRA NEVADA VARIETY PACK BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
72047,2021-08-10 01:10:05.000000,,085200918744,S HOME WZIN 4PK 24C PET - CS24-187ML,00085200918744,SUTTER HM WHITE WHT ZINFANDEL 187 ML,NEED TO INSPECT
72060,2021-08-10 01:30:02.000000,00630832461245,00630832461245,RA CRISPY BUSINESS 4/6/12CN,00630832461245,REAL ALE SEASONAL 6PK (BOTTLE / 12OZ CANS),NEED TO INSPECT
72157,2021-08-10 01:31:25.000000,00083783228236,00083783228229,SN WANDERLAND ALE 4/6/12NR,00083783228229,SIERRA NEVADA SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
72158,2021-08-10 01:31:25.000000,00083783228236,00083783228229,SN WANDERLAND ALE 4/6/12NR,00083783228236,SIERRA NEVADA SEASONAL BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
72261,2021-08-10 01:56:56.000000,00034100575090,00034100575090,LITE 2/12/12 LNNR,00034100575090,MILLER LITE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
72300,2021-08-10 01:51:39.000000,857944005253,857944005253,SHERMAN BOCK - 4/6/12 CN,00857944005253,903 BREWERS OKTOBERFEST 6/12OZ,NEED TO INSPECT
72374,2021-08-10 01:51:44.000000,034100003234,00089419000108,750ML  VIEILLE FERME RED,00034100003234,REDDS WICKED APPLE ALE BEER 1 CT 24 OZ CAN 24 OZ,NEED TO INSPECT
72377,2021-08-10 01:43:55.000000,00635985260455,00635985260387,MIK WHT BL CHE 12-19.2 CAN,00635985260387,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
